sentence_number,word,label
1,Mount,B-Mountain
1,Everest,I-Mountain
1,is,O
1,the,O
1,highest,O
1,peak,O
1,in,O
1,the,O
1,world,O
2,K2,B-Mountain
2,is,O
2,the,O
2,second,I-Mountain
2,highest,O
2,mountain,O
3,The,O
3,Andes,B-Mountain
3,are,O
3,the,O
3,longest,O
3,mountain,O
3,range,O
4,Denali,B-Mountain
4,is,O
4,the,O
4,highest,I-Mountain
4,peak,O
4,in,O
4,North,O
4,America,O
5,Kangchenjunga,B-Mountain
5,is,O
5,the,O
5,third,I-Mountain
5,highest,O
5,mountain,O
6,The,O
6,Rockies,B-Mountain
6,are,O
6,a,O
6,major,O
6,mountain,O
6,range,O
7,Kilimanjaro,B-Mountain
7,is,O
7,the,O
7,highest,I-Mountain
7,mountain,O
7,in,O
7,Africa,O
8,The,O
8,Himalayas,B-Mountain
8,are,O
8,a,O
8,majestic,O
8,mountain,O
8,range,O
9,Mount,B-Mountain
9,Fuji,I-Mountain
9,is,O
9,an,O
9,iconic,O
9,volcanic,O
9,mountain,O
10,Matterhorn,B-Mountain
10,is,O
10,a,O
10,famous,O
10,pyramidal,O
10,mountain,O
11,The,O
11,Alps,B-Mountain
11,are,O
11,a,O
11,famous,O
11,mountain,O
11,range,O
12,Elbrus,B-Mountain
12,is,O
12,the,O
12,highest,I-Mountain
12,mountain,O
12,in,O
12,Europe,O
13,Annapurna,B-Mountain
13,is,O
13,one,O
13,of,O
13,the,O
13,highest,I-Mountain
13,peaks,O
13,in,O
13,the,O
13,Himalayas,B-Mountain
14,The,O
14,Andes,B-Mountain
14,are,O
14,known,O
14,for,O
14,their,O
14,dramatic,O
14,scenery,O
15,Mount,B-Mountain
15,Rainier,I-Mountain
15,is,O
15,an,O
15,iconic,O
15,mountain,O
15,in,O
15,the,O
15,Pacific,O
15,Northwest,O
16,Mont,O
16,Blanc,I-Mountain
16,is,O
16,the,O
16,highest,I-Mountain
16,mountain,O
16,in,O
16,the,O
16,Alps,B-Mountain
17,The,O
